2018-03-01 13:29:49.122016 UTC | [experiment_2018_03_01_13_29_45_0001] Populating workers...
2018-03-01 13:29:51.924059 UTC | [experiment_2018_03_01_13_29_45_0001] Populated
2018-03-01 13:29:55.014813 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training started
2018-03-01 13:29:55.413749 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training finished
2018-03-01 13:29:55.414177 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training started
2018-03-01 13:29:55.803557 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training finished
2018-03-01 13:29:55.803983 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training started
2018-03-01 13:29:56.180252 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training finished
2018-03-01 13:29:56.180701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training started
2018-03-01 13:29:56.551892 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training finished
2018-03-01 13:29:56.552254 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training started
2018-03-01 13:29:56.989673 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training finished
2018-03-01 13:29:56.990072 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training started
2018-03-01 13:29:57.358184 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training finished
2018-03-01 13:29:57.358638 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training started
2018-03-01 13:29:57.732282 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training finished
2018-03-01 13:29:57.732675 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training started
2018-03-01 13:29:58.151163 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training finished
2018-03-01 13:29:58.151701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training started
2018-03-01 13:29:58.525741 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training finished
2018-03-01 13:29:58.526127 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training started
2018-03-01 13:29:59.069522 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training finished
2018-03-01 13:29:59.070696 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 13:30:03.006645 UTC | -----------------------  ------------
2018-03-01 13:36:36.628567 UTC | AverageQ                  -0.937888
2018-03-01 13:36:36.629533 UTC | AverageAbsQ                0.96039
2018-03-01 13:36:36.630348 UTC | AverageY                  -0.938328
2018-03-01 13:36:36.631214 UTC | AverageAbsY                0.981876
2018-03-01 13:36:36.632091 UTC | AverageAbsQYDiff           0.0780285
2018-03-01 13:36:36.632959 UTC | AverageAction              0.999994
2018-03-01 13:36:36.633894 UTC | PolicyRegParamNorm        27.4869
2018-03-01 13:36:36.634795 UTC | QFunRegParamNorm           8.61482
2018-03-01 13:36:36.635690 UTC | AverageForwardProgress     5.29242
2018-03-01 13:36:36.636532 UTC | MaxForwardProgress         5.29242
2018-03-01 13:36:36.637411 UTC | MinForwardProgress         5.29242
2018-03-01 13:36:36.638233 UTC | StdForwardProgress         8.88178e-16
2018-03-01 13:36:36.639128 UTC | -----------------------  -------------
2018-03-01 13:36:36.640306 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #16 | Training started
2018-03-01 13:37:37.339169 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #16 | Training finished
2018-03-01 13:37:37.339399 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #16 | Collecting samples for evaluation
2018-03-01 13:37:42.793458 UTC | -----------------------  -----------
2018-03-01 13:37:42.795126 UTC | Epoch                     16
2018-03-01 13:37:42.796030 UTC | AverageReturn            -10
2018-03-01 13:37:42.796908 UTC | StdReturn                  0
2018-03-01 13:37:42.797859 UTC | MaxReturn                -10
2018-03-01 13:37:42.798670 UTC | MinReturn                -10
2018-03-01 13:37:42.799475 UTC | AverageEsReturn          -27.8983
2018-03-01 13:37:42.800387 UTC | StdEsReturn               20.0421
2018-03-01 13:37:42.801396 UTC | MaxEsReturn               -2
2018-03-01 13:37:42.802618 UTC | MinEsReturn              -72
2018-03-01 13:37:42.803520 UTC | AverageDiscountedReturn  -10.0798
2018-03-01 13:37:42.804475 UTC | AverageQLoss               0.0321427
2018-03-01 13:37:42.805328 UTC | AveragePolicySurr          0.958195
2018-03-01 13:37:42.806212 UTC | AverageQ                  -1.01137
2018-03-01 13:37:42.807103 UTC | AverageAbsQ                1.04166
2018-03-01 13:37:42.807977 UTC | AverageY                  -1.01168
2018-03-01 13:37:42.809690 UTC | AverageAbsY                1.06419
2018-03-01 13:37:42.810534 UTC | AverageAbsQYDiff           0.0880392
2018-03-01 13:37:42.811378 UTC | AverageAction              1
2018-03-01 13:37:42.812210 UTC | PolicyRegParamNorm        27.5175
2018-03-01 13:37:42.813054 UTC | QFunRegParamNorm           8.75151
2018-03-01 13:37:42.813912 UTC | AverageForwardProgress     0
2018-03-01 13:37:42.814791 UTC | MaxForwardProgress         0
2018-03-01 13:37:42.815669 UTC | MinForwardProgress         0
2018-03-01 13:37:42.816573 UTC | StdForwardProgress         0
2018-03-01 13:37:42.817500 UTC | -----------------------  -----------
2018-03-01 13:37:42.818681 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #17 | Training started
2018-03-01 13:38:43.777448 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #17 | Training finished
2018-03-01 13:38:43.778466 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #17 | Collecting samples for evaluation
2018-03-01 13:38:48.963403 UTC | -----------------------  -----------
2018-03-01 13:38:48.965178 UTC | Epoch                     17
2018-03-01 13:38:48.966122 UTC | AverageReturn            -12
2018-03-01 13:38:48.967087 UTC | StdReturn                  0
2018-03-01 13:38:48.968022 UTC | MaxReturn                -12
2018-03-01 13:38:48.968961 UTC | MinReturn                -12
2018-03-01 13:38:48.969860 UTC | AverageEsReturn          -34.2909
2018-03-01 13:38:48.970826 UTC | StdEsReturn               24.7736
2018-03-01 13:38:48.971737 UTC | MaxEsReturn               -4
2018-03-01 13:38:48.972606 UTC | MinEsReturn              -70
2018-03-01 13:38:48.973485 UTC | AverageDiscountedReturn  -11.979
2018-03-01 13:38:48.974343 UTC | AverageQLoss               0.0345312
2018-03-01 13:38:48.975265 UTC | AveragePolicySurr          1.01142
2018-03-01 13:38:48.976127 UTC | AverageQ                  -1.07242
2018-03-01 13:38:48.976965 UTC | AverageAbsQ                1.11189
2018-03-01 13:38:48.977880 UTC | AverageY                  -1.07242
2018-03-01 13:38:48.978750 UTC | AverageAbsY                1.13495
2018-03-01 13:38:48.979630 UTC | AverageAbsQYDiff           0.0973989
2018-03-01 13:38:48.980470 UTC | AverageAction              1
2018-03-01 13:38:48.981318 UTC | PolicyRegParamNorm        27.5226
2018-03-01 13:38:48.982133 UTC | QFunRegParamNorm           8.88058
2018-03-01 13:38:48.983023 UTC | AverageForwardProgress     0
2018-03-01 13:38:48.983872 UTC | MaxForwardProgress         0
2018-03-01 13:38:48.984693 UTC | MinForwardProgress         0
2018-03-01 13:38:48.985525 UTC | StdForwardProgress         0
2018-03-01 13:38:48.986318 UTC | -----------------------  -----------
2018-03-01 13:38:48.987410 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #18 | Training started
2018-03-01 13:39:50.344668 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #18 | Training finished
2018-03-01 13:39:50.346915 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #18 | Collecting samples for evaluation
2018-03-01 13:39:55.725526 UTC | -----------------------  -----------
2018-03-01 13:39:55.727275 UTC | Epoch                     18
2018-03-01 13:39:55.728191 UTC | AverageReturn            -30
2018-03-01 13:39:55.729146 UTC | StdReturn                  0
2018-03-01 13:39:55.730023 UTC | MaxReturn                -30
2018-03-01 13:39:55.730918 UTC | MinReturn                -30
2018-03-01 13:39:55.731822 UTC | AverageEsReturn          -30.3729
2018-03-01 13:39:55.732700 UTC | StdEsReturn               24.4685
2018-03-01 13:39:55.733627 UTC | MaxEsReturn               -2
2018-03-01 13:39:55.734508 UTC | MinEsReturn              -70
2018-03-01 13:39:55.735414 UTC | AverageDiscountedReturn  -28.1674
2018-03-01 13:39:55.736310 UTC | AverageQLoss               0.0360953
2018-03-01 13:39:55.737407 UTC | AveragePolicySurr          1.08144
2018-03-01 13:39:55.738327 UTC | AverageQ                  -1.13112
2018-03-01 13:39:55.739138 UTC | AverageAbsQ                1.18004
2018-03-01 13:39:55.739921 UTC | AverageY                  -1.13105
2018-03-01 13:39:55.740700 UTC | AverageAbsY                1.20213
2018-03-01 13:39:55.741572 UTC | AverageAbsQYDiff           0.106513
2018-03-01 13:39:55.742389 UTC | AverageAction              0.999981
2018-03-01 13:39:55.743173 UTC | PolicyRegParamNorm        27.6001
2018-03-01 13:39:55.743971 UTC | QFunRegParamNorm           9.04784
2018-03-01 13:39:55.744763 UTC | AverageForwardProgress     0
2018-03-01 13:39:55.745635 UTC | MaxForwardProgress         0
2018-03-01 13:39:55.746420 UTC | MinForwardProgress         0
2018-03-01 13:39:55.747214 UTC | StdForwardProgress         0
2018-03-01 13:39:55.748000 UTC | -----------------------  -----------
2018-03-01 13:39:55.749101 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #19 | Training started
2018-03-01 13:40:56.891969 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #19 | Training finished
2018-03-01 13:40:56.893013 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #19 | Collecting samples for evaluation
2018-03-01 13:41:02.288474 UTC | -----------------------  -------------
2018-03-01 13:41:02.289465 UTC | Epoch                     19
2018-03-01 13:41:02.289967 UTC | AverageReturn            -10
2018-03-01 13:41:02.290450 UTC | StdReturn                  0
2018-03-01 13:41:02.290928 UTC | MaxReturn                -10
2018-03-01 13:41:02.291378 UTC | MinReturn                -10
2018-03-01 13:41:02.291831 UTC | AverageEsReturn          -30.4918
2018-03-01 13:41:02.292310 UTC | StdEsReturn               20.6887
2018-03-01 13:41:02.292767 UTC | MaxEsReturn               -2
2018-03-01 13:41:02.293259 UTC | MinEsReturn              -72
2018-03-01 13:41:02.293711 UTC | AverageDiscountedReturn  -10.0798
2018-03-01 13:41:02.294186 UTC | AverageQLoss               0.0395383
2018-03-01 13:41:02.294646 UTC | AveragePolicySurr          1.13246
2018-03-01 13:41:02.295110 UTC | AverageQ                  -1.18187
2018-03-01 13:41:02.295568 UTC | AverageAbsQ                1.23953
2018-03-01 13:41:02.296036 UTC | AverageY                  -1.18163
2018-03-01 13:41:02.296507 UTC | AverageAbsY                1.26225
2018-03-01 13:41:02.296938 UTC | AverageAbsQYDiff           0.117039
2018-03-01 13:41:02.297432 UTC | AverageAction              0.902499
2018-03-01 13:41:02.297913 UTC | PolicyRegParamNorm        27.7481
2018-03-01 13:41:02.298347 UTC | QFunRegParamNorm           9.24276
2018-03-01 13:41:02.299890 UTC | AverageForwardProgress     3.48215
2018-03-01 13:41:02.300311 UTC | MaxForwardProgress         3.48215
2018-03-01 13:41:02.300699 UTC | MinForwardProgress         3.48215
2018-03-01 13:41:02.301204 UTC | StdForwardProgress         4.44089e-16
2018-03-01 13:41:02.301680 UTC | -----------------------  -------------
2018-03-01 13:41:02.302582 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #20 | Training started
2018-03-01 13:42:03.904924 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #20 | Training finished
2018-03-01 13:42:03.905891 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #20 | Collecting samples for evaluation
2018-03-01 13:42:09.294669 UTC | -----------------------  -------------
2018-03-01 13:42:09.296397 UTC | Epoch                     20
2018-03-01 13:42:09.297356 UTC | AverageReturn            -10
2018-03-01 13:42:09.298237 UTC | StdReturn                  0
2018-03-01 13:42:09.299204 UTC | MaxReturn                -10
2018-03-01 13:42:09.300244 UTC | MinReturn                -10
2018-03-01 13:42:09.301283 UTC | AverageEsReturn          -21.039
2018-03-01 13:42:09.302296 UTC | StdEsReturn               13.1509
2018-03-01 13:42:09.303154 UTC | MaxEsReturn               -4
2018-03-01 13:42:09.304070 UTC | MinEsReturn              -54
2018-03-01 13:42:09.304993 UTC | AverageDiscountedReturn  -10.0798
2018-03-01 13:42:09.305924 UTC | AverageQLoss               0.0425978
